日期,造船板价格,城市
2011/1/26,5250,上海
2011/1/27,5250,上海
2011/1/28,5250,上海
2011/1/30,5250,上海
2011/1/31,5250,上海
2011/2/9,5300,上海
2011/2/10,5300,上海
2011/2/11,5400,上海
2011/2/12,5400,上海
2011/2/14,5400,上海
2011/2/15,5400,上海
2011/2/16,5400,上海
2011/2/17,5400,上海
2011/2/18,5400,上海
2011/2/21,5400,上海
2011/2/22,5400,上海
2011/2/23,5400,上海
2011/2/24,5400,上海
2011/2/25,5400,上海
2011/2/28,5400,上海
2011/3/1,5400,上海
2011/3/2,5350,上海
2011/3/3,5300,上海
2011/3/4,5300,上海
2011/3/7,5300,上海
2011/3/8,5300,上海
2011/3/9,5300,上海
2011/3/10,5300,上海
2011/3/11,5250,上海
2011/3/14,5250,上海
2011/3/15,5250,上海
2011/3/16,5250,上海
2011/3/17,5250,上海
2011/3/18,5250,上海
2011/3/21,5250,上海
2011/3/22,5250,上海
2011/3/23,5250,上海
2011/3/24,5250,上海
2011/3/25,5250,上海
2011/3/28,5250,上海
2011/3/29,5250,上海
2011/3/30,5250,上海
2011/3/31,5250,上海
2011/4/1,5250,上海
2011/4/2,5250,上海
2011/4/6,5250,上海
2011/4/7,5250,上海
2011/4/8,5250,上海
2011/4/11,5250,上海
2011/4/12,5250,上海
2011/4/13,5250,上海
2011/4/14,5250,上海
2011/4/15,5250,上海
2011/4/18,5280,上海
2011/4/19,5280,上海
2011/4/20,5280,上海
2011/4/21,5280,上海
2011/4/22,5280,上海
2011/4/25,5280,上海
2011/4/26,5280,上海
2011/4/27,5280,上海
2011/4/28,5280,上海
2011/4/29,5280,上海
2011/5/3,5280,上海
2011/5/4,5280,上海
2011/5/5,5280,上海
2011/5/6,5280,上海
2011/5/9,5280,上海
2011/5/10,5280,上海
2011/5/11,5280,上海
2011/5/12,5280,上海
2011/5/13,5280,上海
2011/5/16,5280,上海
2011/5/17,5280,上海
2011/5/18,5280,上海
2011/5/19,5280,上海
2011/5/20,5280,上海
2011/5/23,5250,上海
2011/5/24,5250,上海
2011/5/25,5250,上海
2011/5/26,5250,上海
2011/5/27,5250,上海
2011/5/30,5250,上海
2011/5/31,5250,上海
2011/6/1,5250,上海
2011/6/2,5250,上海
2011/6/3,5250,上海
2011/6/7,5250,上海
2011/6/8,5250,上海
2011/6/9,5250,上海
2011/6/10,5250,上海
2011/6/13,5250,上海
2011/6/14,5250,上海
2011/6/15,5250,上海
2011/6/16,5230,上海
2011/6/17,5200,上海
2011/6/20,5180,上海
2011/6/21,5180,上海
2011/6/22,5150,上海
2011/6/23,5150,上海
2011/6/24,5100,上海
2011/6/27,5100,上海
2011/6/28,5100,上海
2011/6/29,5100,上海
2011/6/30,5100,上海
2011/7/1,5100,上海
2011/7/4,5100,上海
2011/7/5,5050,上海
2011/7/6,5050,上海
2011/7/7,5050,上海
2011/7/8,5000,上海
2011/7/11,5000,上海
2011/7/12,5000,上海
2011/7/13,5000,上海
2011/7/14,5000,上海
2011/7/15,5000,上海
2011/7/18,5000,上海
2011/7/19,5000,上海
2011/7/20,5000,上海
2011/7/21,5000,上海
2011/7/22,5000,上海
2011/7/25,5000,上海
2011/7/26,5000,上海
2011/7/27,5000,上海
2011/7/28,5000,上海
2011/7/29,5000,上海
2011/8/1,5000,上海
2011/8/2,5000,上海
2011/8/3,5000,上海
2011/8/4,5000,上海
2011/8/5,5000,上海
2011/8/8,5000,上海
2011/8/9,5000,上海
2011/8/10,5000,上海
2011/8/11,5000,上海
2011/8/12,5000,上海
2011/8/15,5000,上海
2011/8/16,5000,上海
2011/8/17,5000,上海
2011/8/18,5000,上海
2011/8/19,5000,上海
2011/8/22,5000,上海
2011/8/23,5000,上海
2011/8/24,5000,上海
2011/8/25,5000,上海
2011/8/26,5000,上海
2011/8/29,5000,上海
2011/8/30,5000,上海
2011/8/31,5000,上海
2011/9/1,5000,上海
2011/9/2,5000,上海
2011/9/5,5000,上海
2011/9/6,5000,上海
